,HomeTeam,HomeTeamID,AwayTeam,AwayTeamID,UTCDate,ESTDate
0,Toronto Maple Leafs,700,Ottawa Senators,693,2022-09-24T17:00:00+00:00,2022-09-24
1,Philadelphia Flyers,695,Boston Bruins,673,2022-09-24T23:00:00+00:00,2022-09-24
2,Toronto Maple Leafs,700,Ottawa Senators,693,2022-09-24T23:00:00+00:00,2022-09-24
3,Arizona Coyotes,1460,St. Louis Blues,698,2022-09-25T00:00:00+00:00,2022-09-24
4,Pittsburgh Penguins,696,Columbus Blue Jackets,680,2022-09-25T17:00:00+00:00,2022-09-25
5,Washington Capitals,703,Buffalo Sabres,674,2022-09-25T18:00:00+00:00,2022-09-25
6,Minnesota Wild,687,Colorado Avalanche,679,2022-09-25T20:00:00+00:00,2022-09-25
7,Arizona Coyotes,1460,Anaheim Ducks,670,2022-09-25T21:00:00+00:00,2022-09-25
8,Edmonton Oilers,683,Winnipeg Jets,704,2022-09-25T22:00:00+00:00,2022-09-25
9,Vancouver Canucks,701,Calgary Flames,675,2022-09-25T23:00:00+00:00,2022-09-25
10,San Jose Sharks,697,Los Angeles Kings,685,2022-09-25T23:00:00+00:00,2022-09-25
11,Columbus Blue Jackets,680,Pittsburgh Penguins,696,2022-09-25T23:00:00+00:00,2022-09-25
12,Calgary Flames,675,Vancouver Canucks,701,2022-09-26T00:00:00+00:00,2022-09-25
13,Colorado Avalanche,679,Vegas Golden Knights,702,2022-09-26T01:30:00+00:00,2022-09-25
14,Nashville Predators,689,Florida Panthers,684,2022-09-26T20:00:00+00:00,2022-09-26
15,Montreal Canadiens,688,New Jersey Devils,690,2022-09-26T23:00:00+00:00,2022-09-26
16,New York Rangers,692,New York Islanders,691,2022-09-26T23:00:00+00:00,2022-09-26
17,Dallas Stars,681,St. Louis Blues,698,2022-09-27T00:00:00+00:00,2022-09-26
18,Nashville Predators,689,Florida Panthers,684,2022-09-27T00:00:00+00:00,2022-09-26
19,Seattle Kraken,1436,Edmonton Oilers,683,2022-09-27T02:00:00+00:00,2022-09-26
20,Vegas Golden Knights,702,Los Angeles Kings,685,2022-09-27T02:00:00+00:00,2022-09-26
21,New Jersey Devils,690,New York Islanders,691,2022-09-27T23:00:00+00:00,2022-09-27
22,Pittsburgh Penguins,696,Detroit Red Wings,682,2022-09-27T23:00:00+00:00,2022-09-27
23,Boston Bruins,673,New York Rangers,692,2022-09-27T23:00:00+00:00,2022-09-27
24,Carolina Hurricanes,676,Tampa Bay Lightning,699,2022-09-27T23:00:00+00:00,2022-09-27
25,Buffalo Sabres,674,Philadelphia Flyers,695,2022-09-27T23:00:00+00:00,2022-09-27
26,Dallas Stars,681,Arizona Coyotes,1460,2022-09-28T00:00:00+00:00,2022-09-27
27,Winnipeg Jets,704,Ottawa Senators,693,2022-09-28T00:00:00+00:00,2022-09-27
28,Chicago Blackhawks,678,St. Louis Blues,698,2022-09-28T00:30:00+00:00,2022-09-27
29,Colorado Avalanche,679,Minnesota Wild,687,2022-09-28T01:00:00+00:00,2022-09-27
30,Seattle Kraken,1436,Calgary Flames,675,2022-09-28T02:00:00+00:00,2022-09-27
31,San Jose Sharks,697,Anaheim Ducks,670,2022-09-28T02:30:00+00:00,2022-09-27
32,Toronto Maple Leafs,700,Montreal Canadiens,688,2022-09-28T23:00:00+00:00,2022-09-28
33,Philadelphia Flyers,695,Washington Capitals,703,2022-09-28T23:00:00+00:00,2022-09-28
34,Tampa Bay Lightning,699,Carolina Hurricanes,676,2022-09-28T23:00:00+00:00,2022-09-28
35,Columbus Blue Jackets,680,Buffalo Sabres,674,2022-09-28T23:00:00+00:00,2022-09-28
36,Detroit Red Wings,682,Chicago Blackhawks,678,2022-09-28T23:30:00+00:00,2022-09-28
37,Calgary Flames,675,Edmonton Oilers,683,2022-09-29T01:00:00+00:00,2022-09-28
38,Anaheim Ducks,670,Arizona Coyotes,1460,2022-09-29T02:00:00+00:00,2022-09-28
39,Los Angeles Kings,685,San Jose Sharks,697,2022-09-29T02:00:00+00:00,2022-09-28
40,Vegas Golden Knights,702,Colorado Avalanche,679,2022-09-29T02:00:00+00:00,2022-09-28
41,New York Rangers,692,New Jersey Devils,690,2022-09-29T23:00:00+00:00,2022-09-29
42,Montreal Canadiens,688,Winnipeg Jets,704,2022-09-29T23:00:00+00:00,2022-09-29
43,Florida Panthers,684,Carolina Hurricanes,676,2022-09-29T23:00:00+00:00,2022-09-29
44,Tampa Bay Lightning,699,Nashville Predators,689,2022-09-30T00:00:00+00:00,2022-09-29
45,Dallas Stars,681,Minnesota Wild,687,2022-09-30T00:00:00+00:00,2022-09-29
46,St. Louis Blues,698,Columbus Blue Jackets,680,2022-09-30T00:00:00+00:00,2022-09-29
47,Vancouver Canucks,701,Seattle Kraken,1436,2022-09-30T01:30:00+00:00,2022-09-29
48,Nashville Predators,689,Tampa Bay Lightning,699,2022-09-30T22:00:00+00:00,2022-09-30
49,New Jersey Devils,690,New York Rangers,692,2022-09-30T23:00:00+00:00,2022-09-30
50,Ottawa Senators,693,Toronto Maple Leafs,700,2022-09-30T23:00:00+00:00,2022-09-30
51,Detroit Red Wings,682,Washington Capitals,703,2022-09-30T23:30:00+00:00,2022-09-30
52,Edmonton Oilers,683,Calgary Flames,675,2022-10-01T01:00:00+00:00,2022-09-30
53,Anaheim Ducks,670,San Jose Sharks,697,2022-10-01T02:00:00+00:00,2022-09-30
54,Vegas Golden Knights,702,San Jose Sharks,697,2022-10-01T02:00:00+00:00,2022-09-30
55,Boston Bruins,673,Philadelphia Flyers,695,2022-10-01T17:00:00+00:00,2022-10-01
56,Buffalo Sabres,674,Pittsburgh Penguins,696,2022-10-01T17:00:00+00:00,2022-10-01
