,id,date,teams.away.id,teams.away.name,scores.away,teams.home.id,teams.home.name,scores.home,status.long,HomeResult,AwayResult,TotalScore
7,201880,2022-10-13,1436,Seattle Kraken,4.0,670,Anaheim Ducks,5.0,After Over Time,W,OTL,9.0
8,324329,2022-10-15,670,Anaheim Ducks,1.0,691,New York Islanders,7.0,Finished,W,L,8.0
9,324336,2022-10-17,670,Anaheim Ducks,4.0,692,New York Rangers,6.0,Finished,W,L,10.0
10,324346,2022-10-18,670,Anaheim Ducks,2.0,690,New Jersey Devils,4.0,Finished,W,L,6.0
11,324361,2022-10-20,670,Anaheim Ducks,1.0,673,Boston Bruins,2.0,After Penalties,W,OTL,3.0
12,324384,2022-10-23,670,Anaheim Ducks,1.0,682,Detroit Red Wings,5.0,Finished,W,L,6.0
13,324406,2022-10-27,699,Tampa Bay Lightning,4.0,670,Anaheim Ducks,2.0,Finished,L,W,6.0
14,324417,2022-10-28,670,Anaheim Ducks,0.0,702,Vegas Golden Knights,4.0,Finished,W,L,4.0
15,324437,2022-10-31,700,Toronto Maple Leafs,3.0,670,Anaheim Ducks,4.0,After Over Time,W,OTL,7.0
16,324454,2022-11-02,670,Anaheim Ducks,6.0,697,San Jose Sharks,5.0,After Penalties,OTL,W,11.0
17,324468,2022-11-04,670,Anaheim Ducks,5.0,701,Vancouver Canucks,8.0,Finished,W,L,13.0
18,324485,2022-11-06,670,Anaheim Ducks,5.0,697,San Jose Sharks,4.0,After Penalties,OTL,W,9.0
19,324488,2022-11-07,684,Florida Panthers,5.0,670,Anaheim Ducks,3.0,Finished,L,W,8.0
20,324506,2022-11-10,687,Minnesota Wild,4.0,670,Anaheim Ducks,1.0,Finished,L,W,5.0
21,324532,2022-11-13,678,Chicago Blackhawks,3.0,670,Anaheim Ducks,2.0,Finished,L,W,5.0
22,324552,2022-11-16,682,Detroit Red Wings,2.0,670,Anaheim Ducks,3.0,After Over Time,W,OTL,5.0
23,324562,2022-11-18,670,Anaheim Ducks,2.0,704,Winnipeg Jets,3.0,Finished,W,L,5.0
24,324581,2022-11-20,670,Anaheim Ducks,2.0,698,St. Louis Blues,6.0,Finished,W,L,8.0
25,324593,2022-11-22,670,Anaheim Ducks,1.0,698,St. Louis Blues,3.0,Finished,W,L,4.0
26,324610,2022-11-24,692,New York Rangers,2.0,670,Anaheim Ducks,3.0,Finished,W,L,5.0
27,324619,2022-11-25,693,Ottawa Senators,5.0,670,Anaheim Ducks,1.0,Finished,L,W,6.0
28,324639,2022-11-28,1436,Seattle Kraken,5.0,670,Anaheim Ducks,4.0,Finished,L,W,9.0
29,324652,2022-11-30,670,Anaheim Ducks,1.0,689,Nashville Predators,2.0,After Over Time,W,OTL,3.0
30,324667,2022-12-02,670,Anaheim Ducks,0.0,681,Dallas Stars,5.0,Finished,W,L,5.0
31,324675,2022-12-03,670,Anaheim Ducks,4.0,687,Minnesota Wild,5.0,After Penalties,W,OTL,9.0
32,324689,2022-12-04,670,Anaheim Ducks,2.0,704,Winnipeg Jets,5.0,Finished,W,L,7.0
33,324706,2022-12-07,676,Carolina Hurricanes,3.0,670,Anaheim Ducks,4.0,After Over Time,W,OTL,7.0
34,324728,2022-12-10,697,San Jose Sharks,6.0,670,Anaheim Ducks,1.0,Finished,L,W,7.0
35,324747,2022-12-13,670,Anaheim Ducks,0.0,693,Ottawa Senators,3.0,Finished,W,L,3.0
36,324755,2022-12-14,670,Anaheim Ducks,0.0,700,Toronto Maple Leafs,7.0,Finished,W,L,7.0
37,324769,2022-12-16,670,Anaheim Ducks,5.0,688,Montreal Canadiens,2.0,Finished,L,W,7.0
38,324782,2022-12-17,670,Anaheim Ducks,4.0,683,Edmonton Oilers,3.0,Finished,L,W,7.0
39,324812,2022-12-21,670,Anaheim Ducks,1.0,685,Los Angeles Kings,4.0,Finished,W,L,5.0
40,324819,2022-12-22,687,Minnesota Wild,4.0,670,Anaheim Ducks,1.0,Finished,L,W,5.0
41,324840,2022-12-24,675,Calgary Flames,3.0,670,Anaheim Ducks,2.0,After Over Time,OTL,W,5.0
42,324857,2022-12-29,702,Vegas Golden Knights,2.0,670,Anaheim Ducks,3.0,After Penalties,W,OTL,5.0
43,324870,2022-12-30,689,Nashville Predators,6.0,670,Anaheim Ducks,1.0,Finished,L,W,7.0
44,324893,2023-01-03,695,Philadelphia Flyers,4.0,670,Anaheim Ducks,1.0,Finished,L,W,5.0
45,324907,2023-01-05,681,Dallas Stars,0.0,670,Anaheim Ducks,2.0,Finished,W,L,2.0
46,324923,2023-01-07,697,San Jose Sharks,4.0,670,Anaheim Ducks,5.0,After Over Time,W,OTL,9.0
47,324940,2023-01-09,673,Boston Bruins,7.0,670,Anaheim Ducks,1.0,Finished,L,W,8.0
48,324956,2023-01-12,683,Edmonton Oilers,6.0,670,Anaheim Ducks,2.0,Finished,L,W,8.0
49,324971,2023-01-14,690,New Jersey Devils,6.0,670,Anaheim Ducks,2.0,Finished,L,W,8.0
50,324997,2023-01-17,670,Anaheim Ducks,3.0,696,Pittsburgh Penguins,4.0,After Over Time,W,OTL,7.0
51,325002,2023-01-18,670,Anaheim Ducks,2.0,695,Philadelphia Flyers,5.0,Finished,W,L,7.0
52,325015,2023-01-20,670,Anaheim Ducks,5.0,680,Columbus Blue Jackets,3.0,Finished,L,W,8.0
53,325028,2023-01-21,670,Anaheim Ducks,3.0,674,Buffalo Sabres,6.0,Finished,W,L,9.0
54,325059,2023-01-25,670,Anaheim Ducks,5.0,1460,Arizona Coyotes,2.0,Finished,L,W,7.0
55,325074,2023-01-27,670,Anaheim Ducks,5.0,679,Colorado Avalanche,3.0,Finished,L,W,8.0
56,325092,2023-01-29,1460,Arizona Coyotes,,670,Anaheim Ducks,,Not Started,,,
57,325107,2023-02-07,670,Anaheim Ducks,,681,Dallas Stars,,Not Started,,,
58,325114,2023-02-08,670,Anaheim Ducks,,678,Chicago Blackhawks,,Not Started,,,
59,325127,2023-02-11,696,Pittsburgh Penguins,,670,Anaheim Ducks,,Not Started,,,
60,325145,2023-02-12,670,Anaheim Ducks,,702,Vegas Golden Knights,,Not Started,,,
61,325164,2023-02-16,674,Buffalo Sabres,,670,Anaheim Ducks,,Not Started,,,
62,325178,2023-02-18,685,Los Angeles Kings,,670,Anaheim Ducks,,Not Started,,,
63,325198,2023-02-20,670,Anaheim Ducks,,684,Florida Panthers,,Not Started,,,
64,325207,2023-02-22,670,Anaheim Ducks,,699,Tampa Bay Lightning,,Not Started,,,
65,325220,2023-02-24,670,Anaheim Ducks,,703,Washington Capitals,,Not Started,,,
66,325234,2023-02-26,670,Anaheim Ducks,,676,Carolina Hurricanes,,Not Started,,,
67,325253,2023-02-28,678,Chicago Blackhawks,,670,Anaheim Ducks,,Not Started,,,
68,325268,2023-03-02,703,Washington Capitals,,670,Anaheim Ducks,,Not Started,,,
69,325283,2023-03-04,688,Montreal Canadiens,,670,Anaheim Ducks,,Not Started,,,
70,325317,2023-03-08,670,Anaheim Ducks,,1436,Seattle Kraken,,Not Started,,,
71,325320,2023-03-09,670,Anaheim Ducks,,701,Vancouver Canucks,,Not Started,,,
72,325333,2023-03-11,670,Anaheim Ducks,,675,Calgary Flames,,Not Started,,,
73,325355,2023-03-13,689,Nashville Predators,,670,Anaheim Ducks,,Not Started,,,
74,325375,2023-03-16,691,New York Islanders,,670,Anaheim Ducks,,Not Started,,,
75,325390,2023-03-18,680,Columbus Blue Jackets,,670,Anaheim Ducks,,Not Started,,,
